DAIAmount,WETHAmount,BlockNumber,AttackerProfitDAI,AttackerProfitWETH,Token0Reserve,Token1Reserve
0,1336450819446773386,246,888956492600258007,0,2896587832174311797211974,3404033314882011473428
0,1345394159046189737,249,899824161863873499,0,2895447782303719993154116,3405385711008064264019
0,20000000000000000,257,198842262588250,0,2895430828508032398349123,3405405830594201828265
167940966422083561880,0,261,0,68418704139,2895599775550779414296892,3405208914042116086075
125260490000000000000,0,264,0,12685625382396,2895725775688389013420416,3405062069352608355508
0,130387161072430439,268,8452797395309400,0,2895615237435002912598452,3405193227722909284365
100000000000000000000,0,272,0,24255466290,2895715836514437668219260,3405075986315553150797
37855697352569363221,0,275,0,1158600340940,2895753918019969071151832,3405031607032954965894
17515054433031875035,0,280,0,248019703218,2895771537796168219320960,3405011073755296036658
0,191125000000000000,283,0,0,2895609511523497071020928,3405203322427119821845
700855760113855333028,280784901216372097,287,-230033864673912286,134862609301090,2896076084404523636718429,3404664658026442199340
4714766600381869326336,0,290,0,17878622632812531,2900803839843318058547792,3399165378923516536657
5132060615638104670208,0,293,0,21071492384004315,2905948600990391675543523,3393201294052086340234
4540413983949219333752,0,298,0,16416059069128364,2910502113991299536723186,3387940112154777275353
380761711922225198381,0,301,0,115400997605555,2910885057683188051931748,3387498393087339497813
0,1947662942387818096,307,1912583660718422024,0,2909219315925054199683719,3389455496195719854940
8004422359372323002566,12407462872647557,310,232847874131,50669173582586621,2925217543124120930871377,3370973849569631282956
0,1775137058910633984,314,8390887994269129311,0,2915699213481791000412584,3382022248779635189978
5120623443612968285551,0,317,0,61979719452896,2920850461119697093793082,3376110888624069697105
246031081002641236085,0,320,0,47680599944571,2921097924915332135967810,3375827434359992218246
0,1519033309653304114,323,1176003422587410835,0,2919789214792119367296981,3377354207913046186821
0,2474377409423840537,328,3113517660122503770,0,2917661154455813463717577,3379839802624786565989
0,400485269112619118,336,244599816873791,0,2917316511957135794793094,3380242686918583327923
0,1274293455837208282,339,824536501859558546,0,2916221269551073954217566,3381523658578101529648
0,2059554709417710336,346,6449782198664801,0,2914451522028540789382313,3383595544614246844440
9999941591201841021,0,353,0,237930280,2914461581879577736884724,3383583969834500927962
0,1941297292439256565,356,5720542098406347,0,2912795414073939339443989,3385536890810001674762
0,2260152382447156896,363,2579502628460860238,0,2910860562123855374524412,3387807581633398960717
0,3539750750246865408,366,18921949945066670,0,2907831448121230398307778,3391368517028224118654
0,2550296077379329024,370,9799806688627694,0,2905652973190875250068824,3393934080517151159999
0,265289594886462782,375,0,0,2905426584834770481922097,3394200918178862615844
10710002493378674168,0,380,0,275477773,2905437359000653695908918,3394188444034519302942
0,2774010833474579,383,0,0,2905434991567013593736230,3394191234659937808055
40067169052940439195,0,387,0,3855385821,2905475298775185921698851,3394144568404416155984
0,1362423593327853896,391,930962712640157580,0,2904313923963664711757044,3395514065872584150519
0,2047168137869202960,396,2098114524411865457,0,2902571302151851319621768,3397571042691591378374
0,2411479476017958704,400,8715350497131732,0,2900518798110819301643030,3399996959155659916940
0,2299035380643219200,404,2635144425691300214,0,2898567340007236764544693,3402306674978591592130
0,1001472283990706695,409,499579867019160018,0,2897717452616714449478405,3403313560341247971456
0,2505126044194324992,414,3119090435974565084,0,2895595565459446965162450,3405830025917633653214
