DAIAmount,WETHAmount,BlockNumber,AttackerProfitDAI,AttackerProfitWETH,Token0Reserve,Token1Reserve
0,1336450819446773386,78,2673188600973376,0,2898863953692160482129346,3401344454369168212138
0,1345394159046189737,84,901954749565687018,0,2897722107094232806021042,3402696849658940906525
0,20000000000000000,89,199313074316347,0,2897705126574200956415320,3402716969244893670294
167940966422083561880,0,94,0,22752473221448,2897874054297197175253390,3402520385280881038501
125260490000000000000,0,101,0,12655722866604,2898000054443272924302008,3402373771669470428292
0,130387161072430439,105,25418425987598,0,2897889333529168326251000,3402504939950269790521
100000000000000000000,0,111,0,24198295764,2897989932608619219734274,3402387883029604520589
37855697352569363221,0,117,0,3467608611,2898028015096509870230885,3402343572425620921812
17515054433031875035,0,128,0,742305383,2898045635083003623135802,3402323071210412198513
0,191125000000000000,132,18204942024937640,0,2897883353480714006044915,3402515319865363012336
700855760113855333028,280784901216372097,141,-115034867661743172,0,2898345689958008114791835,3401977551422971014527
4714766600381869326336,0,146,0,7123869768806,2903077427884319717709579,3396487169231582035469
5132060615638104670208,0,158,0,21022011077753084,2908222203139302764128670,3390532426026527714954
4540413983949219333752,0,164,0,49132590498804,2912789776595183934574094,3385263144502976398038
380761711922225198381,0,168,0,115128795201208,2913172720364943886160882,3384822120968090590283
0,1947662942387818096,172,5751334609514904,0,2911502442324655923317901,3386781445689055298262
8004422359372323002566,12407462872647557,176,77799578362972,-202696276559,2919500548770442389313653,3377586571833498963930
0,1775137058910633984,180,4809175687394636,0,2917971574244370601303545,3379372338185626296512
5120623443612968285551,0,185,0,20611725859427093,2923105015485632626785331,3373490751403205420406
246031081002641236085,0,189,0,0,2923352479313086465535690,3373207735522758061547
0,1519033309653304114,194,3536215042525454,0,2922040568118315256501514,3374735865289166241025
0,2474377409423840537,199,3120750032013617030,0,2919909218164990450028829,3377221457204631380198
0,400485269112619118,212,81722643757455263,0,2919564124222120384030806,3377624247237458638461
0,1274293455837208282,217,826450927331725577,0,2918467189238378913423863,3378905218156064505811
0,2059554709417710336,231,2154916886432463752,0,2916696855540461433620619,3380974613743362923529
9999941591201841021,0,235,0,79126692910,2916706915323441892899010,3380963056911895004154
0,1941297292439256565,239,1911274292239781661,0,2915040077564542713625916,3382913766494728941930
0,2260152382447156896,243,2585491393925209921,0,2913102236127718980533730,3385184454991803921093
0,3539750750246865408,247,6321951684703854167,0,2910074745809346784867894,3388738050622003430587
0,2550296077379329024,251,9822581374230173,0,2907892899213605034641059,3391303614102078473124
0,265289594886462782,255,35420689288227144,0,2907666160645518230014617,3391570451731771124124
10710002493378674168,0,262,0,274840412,2907676934811401625083930,3391557996855241638774
0,2774010833474579,269,3872898547705,0,2907674563715330135027175,3391560787480656642990
40067169052940439195,0,273,0,1282155304733,2907714869827546848082878,3391514194584391309964
0,1362423593327853896,277,2799375080058625,0,2906550769146074818798135,3392884777199497955367
0,2047168137869202960,282,2102983111247041714,0,2904805456169573569983882,3394941752116461550581
0,2411479476017958704,286,8735559699492467,0,2902749782584577711356265,3397367668572647268151
0,2299035380643219200,298,7923748381672819,0,2900792681780987612536155,3399680468215633708588
0,1001472283990706695,302,500735801170277174,0,2899941485447930584770537,3400687353125172423567
0,2505126044194324992,313,3126302103673288108,0,2897816333427794351955051,3403203815870462940370
0,3273876935914851328,322,15972167387024748,0,2895039680682083343675125,3406497287865616287080
0,2573135947425621504,326,3281372622978538501,0,2892864362444328157245182,3409081972583317503274
0,2747964793790047109,331,3733372465554255062,0,2890545101925265654543263,3411841993798704763672
0,1124863590649221016,338,624951473471174805,0,2889595902903585988715986,3412972858308042701469
0,2503005134109835264,346,9262669223876508,0,2887484642316255593870418,3415490848022360930484
8267829659081639433073,0,350,0,55278434505437387,2895755004469305717012423,3405823533842099911742
5642781260881306394123,0,355,0,25599323670558907,2901409741482801488688202,3399245152783736452823
5045073321543761657856,0,361,0,61070967268283,2906484987687266233085213,3393362417514323420324
4941080984023126245376,0,369,0,58280582325235,2911455620749339925452217,3387620731854131714377
5681623560291263231732,0,374,0,76608832689494,2917171217016784697206527,3381042593341820622612
0,77468589191275985,378,0,0,2917104582033829328288783,3381120522511382150299
6870655782948012334249,0,383,0,111247068963410,2924016303772402010617285,3373199572494274982169
5756773230007447191552,0,393,0,25879634263981520,2929785044213734945651548,3366617226037049883388
0,70026382610725642,398,7570753256384,0,2929724288125132984129133,3366687671939045011984
9963775498982388662272,0,403,0,76746880148619076,2939680517146286384557805,3355387488775712659394
6131455267556116398080,0,414,0,28882540921596452,2945823296371820440527746,3348453328073984823965
6562896888606734942208,0,418,0,98610438578520,2952425424696966318249230,3341032387584852309563
11542771891948805462118,0,423,0,100496090834248947,2963947849002502382265876,3328160568499370171095
8744624334175683477504,0,430,0,171517863381273,2972744709191344705259461,3318399737262046140908
8305167448777364078592,0,440,0,51139822690257454,2981053564366183584126671,3309233515190184199787
5727641761160697108448,0,444,0,24183461866865702,2986793651702856881245984,3302930703409039071539
6219255235825274421818,0,453,0,85007173744451,2993050089537126945350870,3296088094425340107218
5788044990544478038778,0,457,0,24400424554994379,2998850568082036632001069,3289769777521613056618
11235428738619865802279,0,463,0,272751508598011,3010153058527538033724826,3277527376584034013247
0,3466171129087918080,475,6681827172580330057,0,3006989225897400984857879,3281007022872093680370
0,2771237192741919171,479,4260304988682266724,0,3004463442601416771732070,3283790206194130663260
0,208209217784208639,486,72132014092303,0,3004273527712568677264160,3283999662714726993243
0,1969549564085030512,494,2147636983489458208,0,3002480367893278808488388,3285978661449947619986
0,2706687108785811954,500,4046035742132775273,0,3000020689453042884534757,3288697128990407297263
0,2236436854726798080,504,0,0,2997990818486122072004314,3290943938359191628211
0,2861673746215143936,518,4501662577630860977,0,2995398458917885541274023,3293817806285114638813
0,2445651717622171906,522,3280598194497910459,0,2993185975930471257926461,3296274497140840869155
0,1879825726990569636,526,1934880648097139551,0,2991487020845951172284648,3298163451683986212445
7047974932269796636779,0,532,0,108582853549770,2998577121541896460507776,3290434519030067759920
5724494524103199293440,0,537,0,23740613100601895,3004314194207506675820207,3284207331503086234270
5757041379137825013760,0,549,0,23873939441739583,3010083803166024261874051,3277968661390105390981
