DAIAmount,WETHAmount,BlockNumber,AttackerProfitDAI,AttackerProfitWETH,Token0Reserve,Token1Reserve
0,1336450819446773386,300,0,0,37258888349816708073805,265372479549699838155597
0,1345394159046189737,306,661860783624404,0,37261526590410277348726,265353748904918701312381
0,20000000000000000,313,152207641567,0,37261566198404887542901,265353467704327793283708
167940966422083561880,0,317,0,0,38401649749335835706144,257500403613618756735080
125260490000000000000,0,321,0,-798133094197748742,39198314851762063138933,252283827163433111213443
0,130387161072430439,326,5557675347076,0,39198572497220613778739,252282174040970708738060
100000000000000000000,0,330,0,0,39807656717599060816159,248434658937285520588218
37855697352569363221,0,336,0,1839415592695171,40030886109385571930582,247053863436916557055654
17515054433031875035,0,341,0,-14822934817877958,40132936981315621285138,246427738889667653607556
0,191125000000000000,347,11127298373643,0,40133314192384902978107,246425429861684681613949
700855760113855333028,280784901216372097,353,294837225340969001,0,44099636779479207480459,224330093688909918876620
4714766600381869326336,0,360,0,-1028659695114543920345,62869085032456351228475,157538201941941069472817
5132060615638104670208,0,366,0,-655840332087587463530,70114332655217737404629,141356904623058413665176
4540413983949219333752,0,371,0,-406742403624481116941,73929207565510617314601,134133866239350563359275
380761711922225198381,0,377,0,1176079174204894965,74198348539707187465284,133653289768546401275532
0,1947662942387818096,383,127004618490962,0,74201647179035358226128,133647372484505806856389
8004422359372323002566,12407462872647557,387,7439989232,-1356892152815770,79264150017941827150267,125214279842928745858831
0,1775137058910633984,393,0,0,79266993197474877919899,125209808793142008327555
5120623443612968285551,0,397,0,-351254804070836196113,80281256096610972336063,123691429117148912650143
246031081002641236085,0,401,0,628645834099534061,80340880851763407872998,123602841590745709760871
0,1519033309653304114,406,50915484525055,0,80343280975921248392839,123599166132300033915910
0,2474377409423840537,414,135068765611113,0,80347190440791305877840,123593179797641622793261
0,400485269112619118,420,3537573778293,0,80347823170557831536540,123592210990628416832028
0,1274293455837208282,431,35812676846012,0,80349836414389359636702,123589128504796353976874
0,2059554709417710336,443,161657864152603,0,80353090146165140144491,123584147029931804795760
9999941591201841021,0,447,0,-1422567973519631,80355457074366669957268,123580637498372300885512
0,1941297292439256565,451,143597073102379,0,80358523757652199839873,123575943038081779802803
0,2260152382447156896,461,112568460068378,0,80362094036594752387701,123570478128295767666779
0,3539750750246865408,467,477280349012255,0,80367685232929110263670,123561920843365307641508
